open;conciensious;extracersion;agreeable;neuron;gender;;;;
4.42 ;3.75 ;3.08 ;3.50 ;3.25 ;1;;;;
3.92 ;2.92 ;3.25 ;3.00 ;3.00 ;1;;;;
3.75 ;2.92 ;2.75 ;2.83 ;3.58 ;1;;;;
4.08 ;3.92 ;3.25 ;2.83 ;2.58 ;1;;;;open
4.25 ;2.50 ;3.67 ;2.42 ;2.50 ;1;;;;conciensious
3.08 ;3.17 ;3.33 ;3.08 ;2.33 ;1;;;;extracersion
3.17 ;3.08 ;3.25 ;2.42 ;3.17 ;1;;;;agreeable
3.33 ;3.58 ;2.33 ;3.00 ;2.50 ;1;;;;neuron
3.50 ;3.42 ;3.00 ;3.50 ;2.33 ;1;;;;gender
4.42 ;3.58 ;2.58 ;2.92 ;3.75 ;1;;;;
4.00 ;3.58 ;2.33 ;2.67 ;4.00 ;1;;;;
2.67 ;3.25 ;2.50 ;2.75 ;2.58 ;1;;;;
4.67 ;2.92 ;2.58 ;3.17 ;3.92 ;1;;;;
4.33 ;1.67 ;1.50 ;3.92 ;5.00 ;1;;;;
4.75 ;3.67 ;3.67 ;3.92 ;2.17 ;1;;;;
3.17 ;2.75 ;1.83 ;3.00 ;3.58 ;1;;;;
2.92 ;3.58 ;2.33 ;3.42 ;2.42 ;1;;;;
2.92 ;3.00 ;3.00 ;3.33 ;2.83 ;1;;;;
3.58 ;2.58 ;2.58 ;3.83 ;2.67 ;1;;;;
3.42 ;2.17 ;3.42 ;3.17 ;4.42 ;1;;;;
3.83 ;3.83 ;3.00 ;2.83 ;1.58 ;1;;;;
2.33 ;3.67 ;3.08 ;2.83 ;3.25 ;1;;;;
3.33 ;3.92 ;3.75 ;3.83 ;1.67 ;1;;;;
3.75 ;3.33 ;3.50 ;3.33 ;3.42 ;1;;;;
3.83 ;4.17 ;4.00 ;3.00 ;3.33 ;2;;;;
3.50 ;3.58 ;2.75 ;3.17 ;2.08 ;2;;;;
3.58 ;3.00 ;2.92 ;3.25 ;3.00 ;2;;;;
4.08 ;2.92 ;1.42 ;3.17 ;3.83 ;2;;;;
4.50 ;4.17 ;4.00 ;3.92 ;2.42 ;2;;;;
4.00 ;2.67 ;2.58 ;1.75 ;3.00 ;2;;;;
4.25 ;3.58 ;4.00 ;3.92 ;2.83 ;2;;;;
3.42 ;3.83 ;2.50 ;3.00 ;2.42 ;2;;;;
4.17 ;4.75 ;4.25 ;2.42 ;2.00 ;2;;;;
3.25 ;4.67 ;3.75 ;3.83 ;2.42 ;2;;;;
3.92 ;3.75 ;2.92 ;3.58 ;2.00 ;2;;;;
4.17 ;2.83 ;3.67 ;3.75 ;3.67 ;2;;;;
3.75 ;2.33 ;2.58 ;2.58 ;3.92 ;2;;;;
4.00 ;4.42 ;4.50 ;3.17 ;2.67 ;2;;;;
3.92 ;3.67 ;3.58 ;2.83 ;4.42 ;2;;;;
3.75 ;3.33 ;2.83 ;3.75 ;2.58 ;2;;;;
4.00 ;3.83 ;3.00 ;3.92 ;2.33 ;2;;;;
3.92 ;3.42 ;3.33 ;3.67 ;3.08 ;2;;;;
3.25 ;3.08 ;1.92 ;2.75 ;4.33 ;2;;;;
4.17 ;3.00 ;3.83 ;2.75 ;3.67 ;2;;;;
4.17 ;4.17 ;3.58 ;2.58 ;3.58 ;2;;;;
4.17 ;3.67 ;3.17 ;4.17 ;2.83 ;2;;;;
4.42 ;4.00 ;3.58 ;3.83 ;3.33 ;2;;;;
4.50 ;2.33 ;2.50 ;3.67 ;3.75 ;2;;;;
4.00 ;3.08 ;2.83 ;2.67 ;3.08 ;2;;;;
3.33 ;2.17 ;2.42 ;2.83 ;3.92 ;2;;;;
3.58 ;3.83 ;3.25 ;4.00 ;2.33 ;2;;;;
4.75 ;3.67 ;2.42 ;3.33 ;4.08 ;2;;;;
4.17 ;2.83 ;4.33 ;3.50 ;2.67 ;2;;;;
