"","Diff.","Avg. score","SD","Min.","Obs. min.","Max.","Obs. max.","Prop. max.","RIT","RIR","ULI","Rel.","\(\alpha\)-drop","Missed [%]","Not-reached [%]"
"V8",0.351063829787234,3.1063829787234,1.89775240635763,1,1,7,7,0.0212765957446809,0.414845633095679,0.352856449908479,0.283680555555556,0.787274298474281,0.910847230586199,0,0
"V12",0.348936170212766,2.74468085106383,1.76547639075011,1,1,6,6,0.0957446808510638,0.529977057417506,0.479418540174001,0.3775,0.935661982509823,0.908487469108368,0,0
"V13",0.466312056737589,3.79787234042553,1.76330449333516,1,1,7,7,0.0531914893617021,0.651093816694811,0.610115367860414,0.398958333333333,1.1480766525607,0.906247902926851,0,0
"V14",0.572695035460993,4.43617021276596,1.58323549650163,1,1,7,7,0.0851063829787234,0.41414205658883,0.3627507957329,0.209027777777778,0.65568440458562,0.910247022106005,0,0
"V16",0.382978723404255,3.29787234042553,1.52984493721256,1,1,7,7,0.0212765957446809,0.547268147420603,0.504819110566075,0.272222222222222,0.837235404629105,0.908122548611733,0,0
"V17",0.613475177304965,4.68085106382979,1.5325343824833,1,1,7,7,0.117021276595745,0.39462798955788,0.344081142987875,0.186111111111111,0.604780962287714,0.910477533598527,0,0
"V18",0.441489361702128,3.64893617021277,1.94387622293074,1,1,7,7,0.127659574468085,0.54530587619927,0.490530694833292,0.432638888888889,1.06000712696818,0.90838295965209,0,0
"V20",0.611702127659575,4.67021276595745,1.3229837397902,1,1,7,7,0.0531914893617021,0.553710236836256,0.517583277912604,0.240625,0.732549639889745,0.908153339849994,0,0
"V21",0.473404255319149,3.84042553191489,1.85671227230737,1,1,7,7,0.0851063829787234,0.519249181259958,0.46516654987655,0.355555555555556,0.964096327230919,0.908782935683342,0,0
"V24",0.556737588652482,4.34042553191489,1.7873702162937,1,1,7,7,0.106382978723404,0.704892255569924,0.668366129855337,0.432986111111111,1.25990342330177,0.905200975182847,0,0
"V26",0.257446808510638,2.28723404255319,1.42649537027264,1,1,6,6,0.0638297872340425,0.474531667197499,0.431157561795066,0.345833333333333,0.676917226304992,0.909213597522534,0,0
"V27",0.730496453900709,5.38297872340426,1.55961384094774,1,1,7,7,0.24468085106383,0.469194937667955,0.421323508509171,0.238541666666667,0.731762918889557,0.909356347780564,0,0
"V28",0.570921985815603,4.42553191489362,1.78698617971639,1,1,7,7,0.117021276595745,0.5896304622902,0.54287803180927,0.399652777777778,1.05366148725237,0.907397954858664,0,0
"V29",0.359929078014184,3.15957446808511,1.7493666533758,1,1,7,7,0.0319148936170213,0.662275905339185,0.622630747734581,0.412847222222222,1.15856338413464,0.906047130671191,0,0
"V31",0.515957446808511,4.09574468085106,1.4669780871931,1,1,7,7,0.0425531914893617,0.386108824135398,0.337445991036205,0.209027777777778,0.566413184278524,0.910516237358884,0,0
"V32",0.583333333333333,4.5,1.79455568526777,1,1,7,7,0.159574468085106,0.615417330422308,0.570565608327432,0.420833333333333,1.10440066912167,0.906912688618605,0,0
"V36",0.682624113475177,5.09574468085106,1.55244620661515,1,1,7,7,0.212765957446809,0.433949908587126,0.384523547502242,0.259027777777778,0.673683889447074,0.909899772173964,0,0
"V38",0.664893617021277,4.98936170212766,1.56228864962723,1,1,7,7,0.191489361702128,0.621460168273869,0.583172350170416,0.383680555555556,0.970900167089692,0.906915933530676,0,0
"V39",0.50531914893617,4.03191489361702,1.68134692331773,1,1,7,7,0.0425531914893617,0.452562651867011,0.399864426782518,0.275,0.760914822325111,0.909753901721182,0,0
"V41",0.379432624113475,3.27659574468085,1.64874833802258,1,1,7,7,0.0212765957446809,0.415110464852337,0.361561985916412,0.222222222222222,0.684412689021073,0.910329648838259,0,0
"V42",0.26241134751773,2.57446808510638,1.73198476303939,1,1,7,7,0.0531914893617021,0.457680061357682,0.403617292656796,0.233680555555556,0.792694892618437,0.909737153057306,0,0
"V43",0.150709219858156,1.90425531914894,1.320387275676,1,1,7,7,0.0106382978723404,0.605012143607255,0.571916110154091,0.275,0.798850336048483,0.907462781613402,0,0
"V44",0.572695035460993,4.43617021276596,1.95958362177175,1,1,7,7,0.159574468085106,0.592967615057068,0.54169704289839,0.411111111111111,1.16196962670689,0.907424668908969,0,0
"V45",0.437943262411348,3.62765957446809,1.95092502213799,1,1,7,7,0.0638297872340425,0.58850912081823,0.53709268733168,0.420486111111111,1.14813716956071,0.90750939637891,0,0
"V47",0.225177304964539,2.35106382978723,1.48619053184887,1,1,7,7,0.0212765957446809,0.455011813251255,0.408772326519288,0.260069444444444,0.676234248733399,0.909523552979832,0,0
"V49",0.321276595744681,2.6063829787234,1.73029977579487,1,1,6,6,0.0957446808510638,0.582506366434914,0.536777860542143,0.396666666666667,1.00791063524141,0.907518919266707,0,0
"V50",0.349290780141844,3.09574468085106,1.90115499097327,1,1,7,7,0.0531914893617021,0.624933624971567,0.578094994721027,0.401388888888889,1.18809568014171,0.906738322688057,0,0
"V51",0.214893617021277,2.07446808510638,1.53972041661338,1,1,6,6,0.0319148936170213,0.444105869063703,0.3955926910151,0.332916666666667,0.683798873735211,0.909730131581803,0,0
"V52",0.204255319148936,2.02127659574468,1.40642705550523,1,1,6,6,0.0425531914893617,0.579869663040435,0.542930109556921,0.334583333333333,0.815544382766767,0.907705180013037,0,0
"V53",0.157801418439716,1.9468085106383,1.48372548599,1,1,7,7,0.0106382978723404,0.554624271111732,0.513961938916514,0.272916666666667,0.822910166197102,0.908023990738638,0,0
Note: Estimate (SD) of Cronbach's alpha for the test as a whole is: 0.91 (0.88).
