overinvolvement_retrieve,overinvolvement_sacrify,overinvolvement_interfer,overinvolvement,GSES,RSES_positive,RSES_negative,RSES,FoMOs_information,FoMOs_episode,FoMOs,SoAS_positive,SoAS_negative,SoAS
1.0,3.0,4.25,2.6153846153846154,3.5,3.0,3.0,3.0,2.5,3.25,2.875,3.8,5.0,4.333333333333333
3.2,5.5,3.0,3.8461538461538463,3.2,2.8,2.6,2.7,3.5,3.25,3.375,5.8,4.75,5.333333333333333
2.8,4.5,3.5,3.5384615384615383,3.3,3.2,2.6,2.9,3.5,3.25,3.375,4.8,4.5,4.666666666666667
2.4,6.25,5.75,4.615384615384615,3.6,3.6,2.8,3.2,2.25,3.0,2.625,5.8,5.5,5.666666666666667
1.4,3.0,2.5,2.230769230769231,2.7,3.0,3.2,3.1,1.5,2.75,2.125,4.4,5.75,5.0
1.2,3.0,2.5,2.1538461538461537,2.7,2.4,1.6,2.0,3.75,3.5,3.625,3.8,3.75,3.7777777777777777
1.0,2.25,1.75,1.6153846153846154,4.0,3.6,3.2,3.4,2.0,3.0,2.5,5.8,6.0,5.888888888888889
1.4,1.5,2.0,1.6153846153846154,2.7,3.2,3.8,3.5,1.25,3.25,2.25,4.8,6.25,5.444444444444445
1.2,5.25,2.5,2.8461538461538463,2.6,2.4,3.2,2.8,5.0,4.75,4.875,5.2,5.5,5.333333333333333
1.0,6.0,3.75,3.3846153846153846,3.6,3.4,3.6,3.5,2.75,4.75,3.75,5.2,6.0,5.555555555555555
1.8,4.75,3.5,3.230769230769231,2.7,2.8,2.2,2.5,4.0,3.0,3.5,3.6,5.25,4.333333333333333
2.8,2.25,3.0,2.6923076923076925,3.0,2.0,2.4,2.2,4.0,3.75,3.875,3.6,4.75,4.111111111111111
